Class,Precision,Recall,F1-Score,Specificity,seed
N,0.8557273615924642,0.9212187888644409,0.887266193679167,0.6532094414183488,20
Q,0.8693379790940766,0.6873278236914601,0.7676923076923077,0.9919903171834396,20
S,0.9667157584683358,0.6258581235697941,0.7598101632133348,0.9954845154845154,20
V,0.40627362055933486,0.5538382277176713,0.4687159363418356,0.9445425021180458,20
