Class,Precision,Recall,F1-Score,Specificity,seed
N,0.8299081586425601,0.9638859657514589,0.8918936862371921,0.5589020613051372,20
Q,0.7417120237506185,0.6882460973370065,0.7139795189330793,0.9814175358655797,20
S,0.967713004484305,0.6172768878718535,0.7537548026545582,0.9956843156843157,20
V,0.6028938906752411,0.19319938176197837,0.2926258291065158,0.991280711663372,20
