Class,Precision,Recall,F1-Score,Specificity,seed
N,0.9636148498742789,0.857801184990125,0.9076344385622737,0.8654634946677605,20
Q,0.9820627802690582,0.9403625954198473,0.9607604192054594,0.9978508745746523,20
S,0.09090909090909091,0.0392156862745098,0.0547945205479452,0.9967904140365893,20
V,0.3342558425584256,0.7720170454545454,0.46652360515021457,0.8758529732209416,20
