Class,Metric,Value,seed
Non-S,Precision,0.9309189012426422,39
S,Precision,0.5147588192944564,39
Non-S,Recall,0.9712555441828727,39
S,Recall,0.2972972972972973,39
Non-S,F1-Score,0.9506595424945734,39
S,F1-Score,0.37691091196626253,39
Non-S,Specificity,0.2972972972972973,39
S,Specificity,0.9712555441828727,39
