Class,Precision,Recall,F1-Score,Specificity,seed
N,0.9568095425350636,0.9610928242264648,0.9589464004203888,0.8197976483456385,20
Q,0.9594822734946539,0.8134541984732825,0.8804544280919184,0.9957017491493045,20
S,0.06779661016949153,0.026143790849673203,0.03773584905660377,0.9970578795335402,20
V,0.6583000570450656,0.8196022727272727,0.7301486871243278,0.9656517002121682,20
