Class,Metric,Value,seed
Non-S,Precision,0.9341548722954287,39
S,Precision,0.6213438735177865,39
Non-S,Recall,0.9795718184919823,39
S,Recall,0.32681912681912684,39
Non-S,F1-Score,0.9563244233491548,39
S,F1-Score,0.42833787465940054,39
Non-S,Specificity,0.32681912681912684,39
S,Specificity,0.9795718184919823,39
