Class,Metric,Value,seed
Non-S,Precision,0.953142665717516,39
S,Precision,0.652129817444219,39
Non-S,Recall,0.9707437734561583,39
S,Recall,0.5347193347193347,39
Non-S,F1-Score,0.9618627057406663,39
S,F1-Score,0.5876170893305918,39
Non-S,Specificity,0.5347193347193347,39
S,Specificity,0.9707437734561583,39
