Class,Metric,Value,seed
Non-S,Precision,0.9710470650449498,39
S,Precision,0.5529895602657386,39
Non-S,Recall,0.9397389969293757,39
S,Recall,0.7268191268191269,39
Non-S,F1-Score,0.9551365409622887,39
S,F1-Score,0.628099173553719,39
Non-S,Specificity,0.7268191268191269,39
S,Specificity,0.9397389969293757,39
