Class,Metric,Value,seed
Non-S,Precision,0.9840608141245709,20
S,Precision,0.6086519114688129,20
Non-S,Recall,0.9841010340458577,20
S,Recall,0.6080402010050251,20
Non-S,F1-Score,0.9840809236742618,20
S,F1-Score,0.6083459024635495,20
Non-S,Specificity,0.6080402010050251,20
S,Specificity,0.9841010340458577,20
