Class,Precision,Recall,F1-Score,Specificity,seed
Q,0.80527833222444,0.931025641025641,0.8635985253894637,0.9535449735449736,25
S,0.17647058823529413,0.06818181818181818,0.09836065573770492,0.9993847776410617,25
V,0.6310272536687631,0.7461576598909271,0.6837800999545661,0.9576577010056296,25
N,0.8950420741414601,0.9984777369021945,0.9439347604485219,0.457856093979442,26
Q,0.9908675799086758,0.836453744493392,0.9071364586443714,0.9991933160472486,26
S,0.0,0.0,0.0,0.9994230264883294,26
V,0.5641025641025641,0.014834794335805798,0.02890932982917214,0.9990388964269561,26
N,0.8879816415839471,0.9541805252895974,0.919891640866873,0.5356194690265487,27
Q,0.6923608710680954,0.8175510204081633,0.749766049036122,0.9543776912036088,27
S,0.0,0.0,0.0,1.0,27
V,0.654434250764526,0.15274803711634546,0.24768518518518517,0.9945030889721262,27
N,0.9424802392651143,0.8676007866273353,0.9034917059184927,0.3705435417884278,28
Q,0.0,0.0,0.0,0.9614861186717474,28
S,0.0045662100456621,0.011560693641618497,0.006546644844517185,0.9800713045068105,28
V,0.2563725490196078,0.34160679294578705,0.29291514981797817,0.9260721247563353,28
N,0.824009324009324,0.9444561625536103,0.8801310401310402,0.5097402597402597,29
Q,0.8895678742907027,0.9604147031102733,0.9236347156129617,0.9859076477468947,29
S,0.0,0.0,0.0,1.0,29
V,0.52834008097166,0.35526315789473684,0.42485078676071625,0.9608863521907001,29
N,0.9251495197245212,0.9890209248256264,0.9560196023348004,0.6454935622317597,30
Q,0.9795630725863284,0.769656699889258,0.862015503875969,0.9983113026262156,30
S,0.0,0.0,0.0,1.0,30
V,0.8421052631578947,0.5959241040056219,0.6979423868312757,0.9909432672590567,30
N,0.9551444500760263,0.9926780446691951,0.9735496202924007,0.2897271268057785,31
Q,0.0,0.0,0.0,0.9942102137767221,31
S,0.0,0.0,0.0,1.0,31
V,0.9268929503916449,0.3290083410565338,0.4856361149110807,0.9985379353558561,31
N,0.9625903279599778,0.9480974541472762,0.9552889256654254,0.7802807704864512,32
Q,0.7681801402731635,0.9976030680728667,0.8679874869655891,0.9673630599729758,32
S,0.0,0.0,0.0,0.9998549252865225,32
V,0.33865814696485624,0.6463414634146342,0.4444444444444444,0.9802857142857143,32
N,0.9024892799465389,0.9481074123910372,0.9247360912981455,0.26767043078209957,33
Q,0.0,0.0,0.0,0.9962502568317239,33
S,0.5714285714285714,0.002677376171352075,0.005329780146568954,0.9998332406892718,33
V,0.39875604699378026,0.6549375709421112,0.4957044673539519,0.9532333494597646,33
N,0.956377799415774,0.8075089065497396,0.8756612184249628,0.7273833671399594,34
Q,0.00036483035388544326,0.2,0.0007283321194464676,0.867664815262014,34
S,0.04953560371517028,0.08121827411167512,0.06153846153846154,0.9850338809535416,34
V,0.4404283801874163,0.43614670790985416,0.4382770870337478,0.9320214669051878,34
N,0.7647551276684805,0.9889708369984438,0.8625298751881031,0.02515177797051171,35
Q,0.0,0.0,0.0,1.0,35
S,0.0,0.0,0.0,1.0,35
V,0.34408602150537637,0.13370473537604458,0.19257773319959878,0.9901997536550099,35
N,0.77771733755316,0.9961994045733832,0.873503846260657,0.02027027027027027,36
Q,0.0,0.0,0.0,0.9984120900180693,36
S,0.0,0.0,0.0,1.0,36
V,0.6935483870967742,0.03739130434782609,0.07095709570957096,0.9978976486860305,36
N,0.822000711997152,0.9907441461321564,0.8985184979292326,0.13750616067028093,37
Q,0.0,0.0,0.0,1.0,37
S,0.0,0.0,0.0,0.9992108118772812,37
V,0.759018759018759,0.2797872340425532,0.4088612514574427,0.9909690677049535,37
N,0.9904922881893091,0.9555646147574399,0.9727150119306982,0.7637795275590551,38
Q,0.0,0.0,0.0,0.9987727652054391,38
S,0.009433962264150943,0.07692307692307693,0.01680672268907563,0.9689777427614733,38
V,0.6973518284993695,0.8266068759342302,0.7564979480164159,0.9878277628442461,38
N,0.829583251809822,0.9889212827988338,0.9022716390913443,0.11931243680485339,39
Q,0.8448275862068966,0.040246406570841886,0.07683261466091729,0.9990359380858015,39
S,0.6296296296296297,0.07906976744186046,0.14049586776859505,0.9995213249724761,39
V,0.4258188824662813,0.16921898928024504,0.2421917808219178,0.9849494949494949,39
