Class,Precision,Recall,F1-Score,Specificity,seed
N,0.8495399702495731,0.915024922857821,0.8810673370853926,0.46503428011753184,14
Q,0.0,0.0,0.0,0.9933295705269639,14
S,0.6,0.14754098360655737,0.23684210526315788,0.9994504236317838,14
V,0.5219418540866704,0.7566600397614314,0.6177568576529784,0.9103487295545726,14
N,0.8634907451352634,0.9924991476304126,0.9235113099203706,0.24877571008814886,15
Q,0.940771349862259,0.3266379722620756,0.4849130280440185,0.99725011191405,15
S,0.5789473684210527,0.12790697674418605,0.20952380952380953,0.9986262163709215,15
V,0.19101123595505617,0.023809523809523808,0.04234122042341221,0.9957681909016104,15
N,0.8689373122883252,0.7621342898778164,0.8120390552685797,0.4444745395449621,16
Q,0.004182156133828996,0.004980630879911455,0.004546602677443799,0.8913671617579967,16
S,0.04533898305084746,0.622093023255814,0.08451816745655608,0.8945323471585057,16
V,0.8623452294246177,0.6911850554582604,0.7673363577446533,0.9904646586953232,16
N,0.9690949227373068,0.7283382392293284,0.8316426301637742,0.6558287073750991,17
Q,0.0012654223347042075,0.01078167115902965,0.0022650056625141564,0.8387228607918263,17
S,0.06845809341010876,0.6294117647058823,0.12348528563185228,0.9263754045307443,17
V,0.41051738761662426,0.6722222222222223,0.5097419694576093,0.963851035056694,17
N,0.8974829138189698,0.9837383519093733,0.9386331938633193,0.521152348819102,18
Q,0.8839574664817383,0.7747163695299838,0.8257395810839991,0.9859020444843856,18
S,0.0,0.0,0.0,1.0,18
V,0.5535714285714286,0.0512396694214876,0.09379727685325265,0.9973769803798133,18
N,0.8432167493646375,0.9614986545228731,0.8984815758083755,0.4119382660009078,19
Q,0.7032871972318339,0.7791087685673215,0.7392589224823823,0.9591958125148703,19
S,0.0,0.0,0.0,1.0,19
V,0.47540983606557374,0.049069373942470386,0.08895705521472393,0.9982521302162989,19
N,0.9161035450670548,0.9991496116559896,0.9558261246847629,0.495625,20
Q,0.989329268292683,0.7135788894997251,0.8291280740977324,0.9992639327024185,20
S,0.8939393939393939,0.31891891891891894,0.4701195219123506,0.9996610825990123,20
V,0.9417040358744395,0.17558528428093645,0.2959830866807611,0.99933818663137,20
N,0.9274178225346761,0.9659608153572136,0.946297014346646,0.3045061447428311,21
Q,0.0,0.0,0.0,0.9859717619285422,21
S,0.37037037037037035,0.11286681715575621,0.17301038062283736,0.9961303833196758,21
V,0.49835706462212487,0.33163265306122447,0.3982494529540481,0.9782288349099206,21
N,0.8762577806898488,0.9972303595206391,0.9328384235962334,0.027941176470588237,22
Q,0.0,0.0,0.0,0.9993481702206909,22
S,0.0,0.0,0.0,1.0,22
V,0.6052631578947368,0.02614626752557787,0.05012713403559753,0.9976134917267713,22
N,0.8785523288352715,0.9093717816683831,0.8936964291362242,0.5111389236545683,23
Q,0.0,0.0,0.0,0.9935258184096486,23
