Class,Precision,Recall,F1-Score,Specificity,seed
N,0.8908621032403419,0.7380324989020641,0.8072777494220434,0.5589180503481521,8
Q,0.2464469779790723,0.8945578231292517,0.3864332068078854,0.7609729515505796,8
S,0.75,0.005555555555555556,0.011029411764705883,0.9999532928538066,8
V,0.8694690265486725,0.2748251748251748,0.41764080765143463,0.9971247563352826,8
N,0.948391837657566,0.9210584101888449,0.9345253014732503,0.7554900910551687,9
Q,0.9496021220159151,0.8117913832199547,0.8753056234718827,0.9962350143663925,9
S,0.3463414634146341,0.13148148148148148,0.1906040268456376,0.9937412424100888,9
V,0.4344069128043991,0.7734265734265734,0.5563380281690141,0.9298245614035088,9
N,0.9618396446937821,0.903546332894159,0.9317821557971014,0.825120514193894,10
Q,0.9336639801611903,0.8537414965986394,0.8919159016878887,0.9946992965421579,10
S,0.3333333333333333,0.018518518518518517,0.03508771929824561,0.9990658570761326,10
V,0.39154929577464787,0.8748251748251749,0.540972972972973,0.9052631578947369,10
N,0.9323130325023666,0.9731554677206851,0.9522965350523771,0.6553294054633101,11
Q,0.9315494710640946,0.8486394557823129,0.8881637496291902,0.9945506786881998,11
S,0.5106382978723404,0.044444444444444446,0.0817717206132879,0.9989257356375525,11
V,0.6115444617784711,0.5482517482517483,0.5781710914454278,0.9757309941520468,11
N,0.9116962025316455,0.988471673254282,0.9485328978559764,0.5329405463310123,12
Q,0.9014598540145985,0.8401360544217688,0.8697183098591549,0.9919746358862578,12
S,0.7183098591549296,0.18888888888888888,0.2991202346041056,0.9981317141522653,12
V,0.7946859903381642,0.23006993006993007,0.35683297180043383,0.9958576998050682,12
N,0.9240649987103431,0.9833662714097496,0.9527938086753012,0.6057846813069094,13
Q,0.9355246523388117,0.8390022675736961,0.8846383741781231,0.9949469929654216,13
S,0.3684210526315789,0.012962962962962963,0.025044722719141325,0.9994395142456796,13
V,0.716804979253112,0.48321678321678324,0.5772765246449457,0.9866959064327485,13
N,0.8377332411886662,0.9981884057971014,0.9109491245209288,0.056775575790037495,14
Q,0.9888888888888889,0.10090702947845805,0.1831275720164609,0.9999009214306945,14
S,0.0,0.0,0.0,0.9999532928538066,14
V,0.484375,0.021678321678321677,0.041499330655957165,0.998391812865497,14
N,0.8451339784145888,0.9973100570926657,0.9149375503626108,0.10846277450455276,15
Q,0.935251798561151,0.07369614512471655,0.13662637940094588,0.9995541464381255,15
S,0.0,0.0,0.0,0.9997664642690332,15
V,0.8096774193548387,0.17552447552447553,0.2885057471264368,0.9971247563352826,15
N,0.9095664420078463,0.9927536231884058,0.9493411727649745,0.5184788430637386,16
Q,0.959789057350033,0.8253968253968254,0.8875342883267296,0.9969781036361834,16
