Class,Metric,Value,seed
Non-S,Precision,0.9708725515136097,39
S,Precision,0.7578297309219233,39
Non-S,Recall,0.9765864892528148,39
S,Recall,0.7143451143451144,39
Non-S,F1-Score,0.9737211379002424,39
S,F1-Score,0.735445205479452,39
Non-S,Specificity,0.7143451143451144,39
S,Specificity,0.9765864892528148,39
