Class,Metric,Value,seed
Non-S,Precision,0.968623870843744,39
S,Precision,0.3475500892680024,39
Non-S,Recall,0.8597321733196861,39
S,Recall,0.7284823284823285,39
Non-S,F1-Score,0.9109353818346136,39
S,F1-Score,0.47058823529411764,39
Non-S,Specificity,0.7284823284823285,39
S,Specificity,0.8597321733196861,39
