Class,Metric,Value,seed
Non-S,Precision,0.9684516396845164,39
S,Precision,0.4125119846596357,39
Non-S,Recall,0.8954708290685772,39
S,Recall,0.7155925155925156,39
Non-S,F1-Score,0.9305324735757495,39
S,F1-Score,0.5233389083168618,39
Non-S,Specificity,0.7155925155925156,39
S,Specificity,0.8954708290685772,39
