Class,Metric,Value,seed
Non-S,Precision,0.955670623894923,39
S,Precision,0.6441162458313483,39
Non-S,Recall,0.9681422722620266,39
S,Recall,0.5621621621621622,39
Non-S,F1-Score,0.9618660226261599,39
S,F1-Score,0.6003552397868561,39
Non-S,Specificity,0.5621621621621622,39
S,Specificity,0.9681422722620266,39
