Class,Metric,Value,seed
Non-S,Precision,0.9531727040184834,39
S,Precision,0.7863777089783281,39
Non-S,Recall,0.9852865916069601,39
S,Recall,0.5280665280665281,39
Non-S,F1-Score,0.9689636371262006,39
S,F1-Score,0.6318407960199005,39
Non-S,Specificity,0.5280665280665281,39
S,Specificity,0.9852865916069601,39
